contract;indicator;module_id
wiodr13_units_v2;abstract_labour.emp.m.mv;aggregation.abstract_labour.emp.m.mv
wiodr13_units_v2;abstract_labour.empe.m.mv;aggregation.abstract_labour.empe.m.mv
wiodr13_units_v2;appropriated_profit.r.pc;aggregation.appropriated_profit.r.pc
wiodr13_units_v2;labour_force_value.emp.m.mv;aggregation.labour_force_value.emp.m.mv
wiodr13_units_v2;labour_force_value.m.mv;aggregation.labour_force_value.m.mv
wiodr13_units_v2;surplus_value.emp_p.r.pc;aggregation.surplus_value.emp_p.r.pc
wiodr13_units_v2;surplus_value.emp.r.pc;aggregation.surplus_value.emp.r.pc
wiodr13_units_v2;surplus_value.empe_hs.r.pc;aggregation.surplus_value.empe_hs.r.pc
wiodr13_units_v2;surplus_value.empe_ls.r.pc;aggregation.surplus_value.empe_ls.r.pc
wiodr13_units_v2;surplus_value.empe_ms.r.pc;aggregation.surplus_value.empe_ms.r.pc
wiodr13_units_v2;surplus_value.empe_p.r.pc;aggregation.surplus_value.empe_p.r.pc
wiodr13_units_v2;surplus_value.empe.r.pc;aggregation.surplus_value.empe.r.pc
wiodr13_units_v2;trade_transfers.p.m.pc;aggregation.trade_transfers.p.m.pc
wiodr16_units_v2;abstract_labour.emp.m.mv;aggregation.abstract_labour.emp.m.mv
wiodr16_units_v2;abstract_labour.empe.m.mv;aggregation.abstract_labour.empe.m.mv
wiodr16_units_v2;appropriated_profit.r.pc;aggregation.appropriated_profit.r.pc
wiodr16_units_v2;labour_force_value.emp.m.mv;aggregation.labour_force_value.emp.m.mv
wiodr16_units_v2;labour_force_value.m.mv;aggregation.labour_force_value.m.mv
wiodr16_units_v2;surplus_value.emp_p.r.pc;aggregation.surplus_value.emp_p.r.pc
wiodr16_units_v2;surplus_value.emp.r.pc;aggregation.surplus_value.emp.r.pc
wiodr16_units_v2;surplus_value.empe_p.r.pc;aggregation.surplus_value.empe_p.r.pc
wiodr16_units_v2;surplus_value.empe.r.pc;aggregation.surplus_value.empe.r.pc
wiodr16_units_v2;trade_transfers.p.m.pc;aggregation.trade_transfers.p.m.pc
